"Label","Xvalue","Yvalue"
"D1 ",-17.3457,1.35011231899
"D10 ",6.69427,0.846825659275
"D11 ",52.4511,3.72699403763
"D12 ",10.8462,1.03464484215
"D13 ",-28.7971,2.12476396561
"D2 ",-35.2579,2.48772311211
"D3 ",-5.50836,0.804088354111
"D4 ",-31.5376,2.25995349884
"D5 ",-6.80819,0.846825659275
"D6 ",-26.646,1.94432520866
"D7 ",-2.43,0.734663128853
"D8 ",-8.20994,0.940161347389
"D9 ",19.7836,1.36938858032
"INH ",-53.2503,3.89029479027
"MET ",-47.9101,3.49871754646
"STREP ",-46.4843,3.37608528137
"D28 ",-31.2524,5.91265583038
"D29 ",-5.0875,1.08877432346
"D30 ",-5.80086,1.36938858032
"D31 ",-19.2681,2.82978510857
"D32 ",-34.1732,8.05984115601
"D33 ",-35.7627,8.34397029877
"D34 ",-30.3275,7.03983926773
"D35 ",-31.1623,7.28107404709
"D36 ",-34.7422,5.59165477753
"D37 ",-27.175,4.44785451889
"D38 ",-41.9836,9.75870609283
"D39 ",-23.7963,4.75894021988
"INH ",10.8283,1.83547830582
"STREP ",-43.8795,10.0906257629
"D40 ",32.5215,5.88361883163
"D41 ",34.239,4.01841306686
"D42 ",28.2441,5.30898618698
"D43 ",21.4499,3.69431638718
"D44 ",19.1326,5.22219991684
"D45 ",19.6542,5.03562736511
"D46 ",70.6242,8.17754650116
"D47 ",20.0061,3.57968449593
"D48 ",15.0483,3.28057360649
"D49 ",21.7738,1.41777074337
"D50 ",54.7916,7.37654685974
"INH ",37.9042,4.05258989334
"STREP ",-39.1953,11.7348680496
"D51",-45.5172,4.20789337158
"D52",-28.8735,2.82978510857
"D53",-49.552,4.87212562561
"D54",-29.7828,2.59572696686
"D55",-44.6448,3.21178555489
"D56",-49.8184,4.87169599533
"D57",-64.7744,6.60266923904
"D58",-55.2317,5.61776638031
"D59",-75.0963,7.45078277588
"D60",-66.6174,6.6986246109
"D61",-63.9903,6.51774501801
"D62",-66.29,6.74479866028
"D63",-88.7412,8.44020652771
"INH",-56.8108,4.41297149658
"STREP",-66.6279,6.77668714523
"D100 ",-15.8237,2.71837949753
"D89 ",-15.9462,2.77040100098
"D90 ",-20.4908,3.23620080948
"D91 ",-6.0983,1.12358140945
"D92 ",-17.8823,3.00843381882
"D93 ",-90.9468,12.7050285339
"D94 ",-27.1393,4.87169599533
"D95 ",-21.7863,3.40865707397
"D96 ",-70.2359,12.2772531509
"D97 ",-71.429,11.7831497192
"D98 ",-74.1731,12.1264305115
