"drugName","Percchange_Area","pvalue_Area","Percchange_IntegInt","pvalue_IntegInt"
"D1 ",-18.2319,0.394364,-17.3457,0.407643
"D10 ",12.8443,0.612388,6.69427,0.782679
"D11 ",51.0643,0.0293272,52.4511,0.0236895
"D12 ",10.1821,0.636055,10.8462,0.610024
"D13 ",-24.8586,0.231674,-28.7971,0.160142
"D2 ",-35.8951,0.104359,-35.2579,0.103749
"D3 ",-5.26127,0.839406,-5.50836,0.826716
"D4 ",-34.1767,0.115517,-31.5376,0.136969
"D5 ",-8.43709,0.735598,-6.80819,0.784185
"D6 ",-27.6656,0.187481,-26.646,0.196962
"D7 ",-4.44629,0.843449,-2.43,0.911732
"D8 ",-12.0359,0.560827,-8.20994,0.686394
"D9 ",18.4429,0.429714,19.7836,0.396808
"INH ",-52.1612,0.0237353,-53.2503,0.0196296
"MET ",-52.341,0.0234433,-47.9101,0.0308532
"STREP ",-39.2672,0.073183,-46.4843,0.0357563
"D28 ",-30.7904,0.00186479,-31.2524,0.00178601
"D29 ",-7.35524,0.403519,-5.0875,0.571043
"D30 ",-6.94663,0.316,-5.80086,0.396456
"D31 ",-19.3936,0.0667237,-19.2681,0.0694418
"D32 ",-35.8001,8.12E-05,-34.1732,0.000125177
"D33 ",-36.8302,6.81E-05,-35.7627,8.47E-05
"D34 ",-30.5938,0.00038716,-30.3275,0.000438309
"D35 ",-30.3937,0.000485266,-31.1623,0.000336096
"D36 ",-34.0471,0.00332627,-34.7422,0.00259632
"D37 ",-28.1921,0.00817117,-27.175,0.010116
"D38 ",-44.3908,8.72E-06,-41.9836,1.48E-05
"D39 ",-24.422,0.00678638,-23.7963,0.007137
"INH ",11.8627,0.176006,10.8283,0.222803
"STREP ",-35.5616,0.000145627,-43.8795,9.79E-06
"D40 ",34.4363,0.00147197,32.5215,0.00187206
"D41 ",35.2952,0.0135807,34.239,0.0168374
"D42 ",28.592,0.00383218,28.2441,0.00365858
"D43 ",20.781,0.0299251,21.4499,0.0246754
"D44 ",18.6497,0.00596714,19.1326,0.004059
"D45 ",16.8564,0.0107802,19.6542,0.0050997
"D46 ",70.5984,0.000119049,70.6242,0.000104533
"D47 ",16.9882,0.0483573,20.0061,0.0282304
"D48 ",13.7557,0.0585066,15.0483,0.04018
"D49 ",17.2705,0.466428,21.7738,0.369342
"D50 ",54.7696,0.000237397,54.7916,0.000295476
"INH ",39.3286,0.013029,37.9042,0.0160068
"STREP ",-35.5618,7.44E-06,-39.1953,1.22E-06
"D51",-45.4506,0.0108173,-45.5172,0.0132762
"D52",-28.9549,0.060912,-28.8735,0.0692345
"D53",-51.1209,0.00389448,-49.552,0.00618939
"D54",-30.9604,0.0708506,-29.7828,0.0913367
"D55",-44.7199,0.0403933,-44.6448,0.043686
"D56",-50.9742,0.00415536,-49.8184,0.00624472
"D57",-64.9717,0.000546372,-64.7744,0.000783053
"D58",-57.2128,0.00143265,-55.2317,0.00250033
"D59",-75.1215,0.000178903,-75.0963,0.000264302
"D60",-67.131,0.000478212,-66.6174,0.00069077
"D61",-62.8304,0.000724314,-63.9903,0.000868821
